ID,ORIGINAL_LANGUAGE,POPULARITY,RELEASE_DATE,TITLE,VOTE_AVERAGE,VOTE_COUNT
19404,hi,27.28,1995-10-20,Dilwale Dulhania Le Jayenge,8.7,3245
278,en,61.253,1994-09-23,The Shawshank Redemption,8.7,20152
238,en,61.699,1972-03-14,The Godfather,8.7,15095
724089,en,9.472,2020-07-31,Gabriel's Inferno Part II,8.7,1328
761053,en,20.463,2020-11-19,Gabriel's Inferno Part III,8.6,895
424,en,37.948,1993-11-30,Schindler's List,8.6,12052
696374,en,9.281,2020-05-29,Gabriel's Inferno,8.6,2151
240,en,40.43,1974-12-20,The Godfather: Part II,8.6,9085
255709,ko,9.648,2013-10-02,Hope,8.6,235
283566,ja,183.306,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,8.6,380
372058,ja,183.454,2016-08-26,Your Name.,8.6,8068
129,ja,69.979,2001-07-20,Spirited Away,8.5,12070
496243,ko,93.914,2019-05-30,Parasite,8.5,12529
632632,ja,114.627,2020-08-22,Given,8.5,268
389,en,23.404,1957-04-10,12 Angry Men,8.5,5978
497,en,61.244,1999-12-10,The Green Mile,8.5,13066
644479,es,18.44,2019-11-01,Dedicated to my ex,8.5,438
441130,en,24.343,2020-10-26,Wolfwalkers,8.5,627
680,en,46.069,1994-09-10,Pulp Fiction,8.5,22116
155,en,72.831,2008-07-14,The Dark Knight,8.5,26232
