ID,ORIGINAL_LANGUAGE,POPULARITY,RELEASE_DATE,TITLE,VOTE_AVERAGE,VOTE_COUNT
566525,en,8300.401,2021-09-01,Shang-Chi and the Legend of the Ten Rings,7.9,3282
512195,en,7646.716,2021-11-04,Red Notice,6.9,1141
580489,en,4813.214,2021-09-30,Venom: Let There Be Carnage,6.8,2028
370172,en,4467.007,2021-09-29,No Time to Die,7.6,1984
585245,en,3857.928,2021-11-10,Clifford the Big Red Dog,7.8,166
522402,en,3311.758,2021-11-04,Finch,8.2,1066
763164,en,2325.571,2021-11-12,Apex,5.7,177
885110,en,2501.667,2021-11-04,Amina,6.7,13
634649,en,2137.099,2021-12-15,Spider-Man: No Way Home,0.0,0
524434,en,2123.924,2021-11-03,Eternals,7.1,1110
438631,en,1826.932,2021-09-15,Dune,8.0,4140
744275,en,1805.085,2021-09-01,After We Fell,7.2,915
654974,en,1700.265,2021-11-12,Home Sweet Home Alone,5.5,149
550988,en,1680.25,2021-08-11,Free Guy,7.8,3746
618162,en,1604.043,2021-10-22,The Harder They Fall,6.8,327
796499,en,1566.278,2021-10-27,Army of Thieves,7.0,741
1930,en,1203.652,2012-06-23,The Amazing Spider-Man,6.6,13591
335983,en,1170.731,2018-09-28,Venom,6.8,12251
775943,es,1369.744,2021-07-29,Tarumama,4.4,10
568620,en,984.591,2021-07-22,Snake Eyes: G.I. Joe Origins,6.8,827
